	m_hilicp_0000	m_hilicp_0003	m_hilicp_0004	m_hilicp_0005	m_hilicp_0006	m_hilicp_0010	m_hilicp_0011	m_hilicp_0013	m_hilicp_0017	m_hilicp_0021	m_hilicp_0022	m_hilicp_0023	m_hilicp_0024	m_hilicp_0026	m_hilicp_0029	m_hilicp_0030	m_hilicp_0033	m_hilicp_0035	m_hilicp_0036	m_hilicp_0042	m_hilicp_0043	m_hilicp_0046	m_hilicp_0047	m_hilicp_0048	m_hilicp_0049	m_hilicp_0051	m_hilicp_0055	m_hilicp_0056	m_hilicp_0057	m_hilicp_0058	m_hilicp_0060	m_hilicp_0061	m_hilicp_0064	m_hilicp_0065	m_hilicp_0069	m_hilicp_0071	m_hilicp_0072	m_hilicp_0074	m_hilicp_0075	m_hilicp_0076	m_hilicp_0077	m_hilicp_0078	m_hilicp_0079	m_hilicp_0080	m_hilicp_0082	m_hilicp_0084	m_hilicp_0085	m_hilicp_0087	m_hilicp_0088	m_hilicp_0090	m_hilicp_0091	m_hilicp_0092	m_hilicp_0093	m_hilicp_0095	m_hilicp_0096	m_hilicp_0097	m_hilicp_0098	m_hilicp_0099	m_hilicp_0100	m_hilicp_0101	m_hilicp_0102	m_hilicp_0104	m_hilicp_0107	m_hilicp_0113	m_hilicp_0116	m_hilicp_0120	m_hilicp_0121	m_hilicp_0123	m_hilicp_0124	m_hilicp_0125	m_hilicp_0127	m_hilicp_0129	m_hilicp_0131	m_hilicp_0132	m_hilicp_0134	m_hilicp_0137	m_hilicp_0138	m_hilicp_0139	m_hilicp_0141	m_hilicp_0142	m_hilicp_0145	m_hilicp_0146	m_hilicp_0149	m_hilicp_0152	m_hilicp_0154	m_hilicp_0155	m_hilicp_0158	m_hilicp_0160	m_hilicp_0161	m_hilicp_0164	m_hilicp_0165	m_hilicp_0168	m_hilicp_0169	m_hilicp_0176	m_hilicp_0180	m_hilicp_0184	m_hilicp_0185	m_hilicp_0187	m_hilicp_0188	m_hilicp_0189	m_hilicp_0190	m_hilicp_0192	m_hilicp_0193	m_hilicp_0194	m_hilicp_0195	m_hilicp_0197	m_hilicp_0200	m_hilicp_0204	m_hilicp_0205	m_hilicp_0206	m_hilicp_0207	m_hilicp_0210	m_hilicp_0211	m_hilicp_0212	m_hilicp_0215	m_hilicp_0223	m_hilicp_0225	m_hilicp_0227	m_hilicp_0229	m_hilicp_0230	m_hilicp_0231	m_hilicp_0235	m_hilicp_0236	m_hilicp_0237	m_hilicp_0238	m_hilicp_0241	m_hilicp_0242	m_hilicp_0244	m_hilicp_0247	m_hilicp_0253	m_hilicp_0255	m_hilicp_0256	m_hilicp_0259	m_hilicp_0264	m_hilicp_0265	m_hilicp_0267	m_hilicp_0270	m_hilicp_0271	m_hilicp_0272	m_hilicp_0273	m_hilicp_0278	m_hilicp_0279	m_hilicp_0291	m_hilicp_0292	m_hilicp_0293	m_hilicp_0295	m_hilicp_0305	m_hilicp_0306	m_hilicp_0310	m_hilicp_0312	m_hilicp_0315	m_hilicp_0316	m_hilicp_0318	m_hilicp_0321	m_hilicp_0322	m_hilicp_0326	m_hilicp_0332	m_hilicp_0338	m_hilicp_0347	m_hilicp_0353	m_hilicp_0356	m_hilicp_0357	m_hilicp_0358	m_hilicp_0359	m_hilicp_0360	m_hilicp_0361	m_hilicp_0362	m_hilicp_0363	m_hilicp_0364	m_hilicp_0365	m_hilicp_0366	m_hilicp_0367
s02152		8129.0	18123934.0	152232.0			20178812.0	6051164.0					151906.0	126331.0	5199.0	1953159.0		22186.0		161302000.0	589468.0				318731.0	126149056.0	66230652.0		1596756.0	10866.0	5249051	14945.0		30113.0		18572.0	24512.0	12396827.0	746507.0	27561.0		2966534.0	7659.0		272309.0				18402.0		23254.0			23646.0	293869		6658242		3351818.0			3163076.0					20141.0	227365.0		13702.0		5904.0	17422.0		3850.0	8665.0	9223.0	24115.0			14956153				15050.0	22869.0	9858334		68557.0					35307.0			2693.0		28259.0		709058.0	6740.0	51781.0	674.0	11211.0							12331	2156683	612950.0		84120.0	99980.0	21513.0	4813753.0						5200.0	39910.0	55678.0				236.0	34862.0		9874.0		71863.0		18165.0	108051.0	4147.0		509794.0			360731.0	250.0	358913.0	127758.0			8443.0		7925.0	15772.0						514.0				157239.0	85491.0	111114.0	638515	450317				
s02115		1280.0	14562224.0	138735.0			15538419.0	951422.0					10435.0	799869.0	1658.0	2768536.0		379.0		52658368.0	769539.0				65331.0	15895050.0	37491204.0		567840.0	8946.0	705066	22254.0		4173.0		33665.0	10838.0	2391508.0	276772.0	26117.0		960104.0	7268.0		636280.0				1232976.0		31505.0			8446.0	190897		7344252		3609529.0			1748346.0					54670.0	27565.0		566.0		6781.0	24649.0		2606.0	122396.0	8110.0	162120.0			25232130				903.0	6309.0	14563091		172593.0					98501.0			290.0		27507.0		222432.0	1115.0	39151.0	1476.0	434.0							5391	3994221	18434.0		39682.0	24768.0	24542.0	168563.0						2377.0	22506.0	4215.0				1097.0	54078.0		14179.0		7285.0		4344.0	130997.0	8383.0		128268.0			137419.0	412.0	143376.0	4665.0			971.0		77310.0	72812.0						1099.0				122183.0	134487.0	363257.0	649282	251226				
s02155		4604.0	56071.0	7116.0			30295.0	62429.0					370.0	3630.0	343.0	35451.0		1557.0		24467.0	7997.0				4436.0	23639.0	693628.0		14211.0	2031.0	1133	0.0		4119.0		3502.0	4981.0	3547.0	597.0	1039.0		3194.0	2542.0		10911.0				4523.0		760.0			320.0	359		31111		11694.0			1386.0					3666.0	8529.0		266.0		2330.0	773.0		1028.0	138.0	154.0	2217.0			7989				139.0	1844.0	34938		1224.0					1203.0			207.0		1627.0		6030.0	140.0	732.0	655.0	270.0							3506	5877	2076.0		2539.0	145.0	1036.0	8481.0						2625.0	101.0	0.0				0.0	294.0		495.0		0.0		483.0	123.0	582.0		0.0			0.0	0.0	0.0	134.0			0.0		0.0	247.0						0.0				833.0	319.0	2029.0	123	103				
s02117		2970.0	14621091.0	133182.0			15512710.0	1000808.0					11263.0	794482.0	1977.0	2658990.0		1066.0		53049108.0	859139.0				61293.0	16382328.0	37022124.0		2321563.0	7021.0	780365	54137.0		1561.0		30620.0	10857.0	2320138.0	269146.0	28520.0		947163.0	19020.0		639260.0				1244196.0		29153.0			8908.0	191478		7382916		3603118.0			1708888.0					62487.0	31232.0		920.0		6094.0	24931.0		3522.0	131956.0	11139.0	167211.0			24896234				3677.0	3597.0	14406468		170471.0					99902.0			352.0		26776.0		233843.0	568.0	40461.0	2021.0	1613.0							3415	3899237	11893.0		39247.0	16947.0	23070.0	178796.0						3262.0	21712.0	21029.0				742.0	51689.0		14081.0		3182.0		10570.0	130877.0	9104.0		131160.0			142332.0	126.0	148623.0	2470.0			264.0		88007.0	73250.0						1393.0				123632.0	66975.0	367484.0	558028	420972				
s02093		2500.0	102124.0	152875.0			17066378.0	478980.0					10029.0	631622.0	1805.0	5555385.0		280.0		32181758.0	21068.0				63090.0	16466447.0	42241164.0		79890.0	5570.0	620894	16024.0		4523.0		51587.0	8438.0	2070106.0	58795.0	8405.0		812395.0	4832.0		729496.0				1318888.0		26262.0			13097.0	65831		7619111		4719914.0			27903.0					108297.0	71304.0		564.0		3639.0	35873.0		1521.0	197368.0	9020.0	171142.0			247389				1946.0	5790.0	15153702		195233.0					13705.0			40380.0		35814.0		221342.0	67832.0	45235.0	593.0	253.0							8412	2343929	11682.0		30942.0	25369.0	25352.0	144988.0						2122.0	19781.0	30723.0				423.0	22988.0		12505.0		301.0		10656.0	146947.0	4788.0		158492.0			206523.0	941.0	207929.0	24663.0			4226.0		24688.0	134.0						2968.0				128052.0	194407.0	380958.0	471402	407374				
s02129		18814.0	21541362.0	188190.0			7667090.0	7253652.0					28196.0	264002.0	236.0	1773468.0		15822.0		190489056.0	20332.0				157034.0	20582202.0	69679664.0		1011360.0	17122.0	4254937	6285.0		9029.0		30915.0	45305.0	2446343.0	860614.0	5926.0		10104209.0	13598.0		229532.0				570976.0		25229.0			27890.0	123566		9183317		4092775.0			3623574.0					34568.0	15873.0		17041.0		24067.0	18348.0		6238.0	7610.0	6997.0	37134.0			17450540				26371.0	16788.0	11150206		169243.0					31493.0			5094.0		48370.0		540195.0	5005.0	44205.0	14073.0	1513.0							173957	2153238	12909.0		192265.0	374036.0	14381.0	112487.0						11073.0	43957.0	17974.0				13605.0	13225.0		851.0		223227.0		4704.0	94274.0	3096.0		1082.0			111.0	0.0	425.0	2047.0			598.0		16165.0	859.0						141.0				169068.0	146606.0	142186.0	610971	336550				
s02136		2827.0	14413019.0	94955.0			15116423.0	257320.0					11817.0	540741.0	2037.0	2073909.0		550.0		43032696.0	699146.0				50669.0	15301663.0	29765014.0		1633439.0	5299.0	773144	25155.0		3369.0		24484.0	8235.0	2016574.0	44492.0	107302.0		1214540.0	4004.0		570097.0				1266426.0		26797.0			8759.0	1097734		5694498		3478590.0			1577879.0					30668.0	24540.0		1612.0		5960.0	19801.0		1733.0	181305.0	6396.0	73049.0			23410890				1628.0	14341.0	12667638		158028.0					143583.0			188.0		32310.0		190720.0	343.0	34653.0	1179.0	954.0							5392	3984899	16511.0		37624.0	17422.0	21541.0	266991.0						172.0	63299.0	19407.0				128.0	56378.0		13283.0		2785.0		9557.0	139255.0	3612.0		127814.0			189894.0	1115.0	176135.0	17267.0			2237.0		12126.0	14555.0						138.0				97388.0	125599.0	314877.0	629211	407260				
s02127		17818.0	21382702.0	185968.0			7419456.0	7151448.0					28699.0	264902.0	4354.0	1816839.0		16139.0		189241552.0	18290.0				162761.0	10845987.0	70416152.0		1415599.0	20017.0	3741865	11945.0		7830.0		27777.0	45217.0	2347539.0	802645.0	16814.0		3645645.0	13381.0		227875.0				573538.0		23564.0			24652.0	144007		8847322		3881044.0			3596352.0					63842.0	12200.0		15184.0		24477.0	14778.0		6357.0	6596.0	6653.0	36891.0			17265422				28083.0	15745.0	10900553		162321.0					82867.0			4252.0		45377.0		536538.0	4210.0	43612.0	15331.0	3005.0							113181	2151368	5047.0		125871.0	164507.0	13770.0	91742.0						10915.0	92096.0	18662.0				13583.0	24228.0		1224.0		279690.0		5075.0	86153.0	1951.0		117.0			113.0	0.0	117.0	1034.0			0.0		1953.0	453.0						144.0				169335.0	154532.0	141364.0	617836	457406				
s02119		4986.0	14020898.0	128649.0			17193906.0	239725.0					9727.0	763053.0	1548.0	2743533.0		528.0		19778602.0	672468.0				54305.0	12312139.0	30839946.0		2266640.0	16078.0	2272	61916.0		7235.0		26162.0	9370.0	2464117.0	807656.0	89315.0		727250.0	4715.0		606033.0				880771.0		31816.0			9795.0	1066746		6290596		3697668.0			1675839.0					37660.0	30276.0		860.0		4504.0	33038.0		2650.0	12305.0	8315.0	159443.0			23387694				624.0	7819.0	13758507		159626.0					459719.0			1145.0		46930.0		195479.0	1112.0	38690.0	4027.0	1122.0							54105	4355473	15192.0		44112.0	21438.0	23585.0	221193.0						9106.0	27789.0	18784.0				3025.0	49744.0		10506.0		0.0		12740.0	132939.0	8568.0		133846.0			206543.0	9257.0	191859.0	114524.0			34756.0		48718.0	586.0						8795.0				109069.0	129676.0	360707.0	704683	450194				
s02106		1679.0	16651340.0	106792.0			16040385.0	289750.0					12299.0	590218.0	216.0	2314931.0		449.0		44504512.0	638001.0				56078.0	10668430.0	34542488.0		1721298.0	6008.0	693273	35628.0		3775.0		22786.0	7464.0	2065884.0	730737.0	124872.0		4738.0	2750.0		597210.0				1460535.0		26697.0			5379.0	1210439		5980448		3233858.0			1679229.0					41262.0	30231.0		188.0		6108.0	19773.0		1166.0	184293.0	9803.0	83982.0			25460620				2470.0	3820.0	13258340		166412.0					165041.0			506.0		29733.0		200831.0	380.0	32274.0	766.0	1527.0							4085	4141366	17050.0		39588.0	19307.0	22788.0	302350.0						525.0	31612.0	14295.0				432.0	64452.0		9608.0		1804.0		3457.0	141608.0	14970.0		136850.0			204174.0	493.0	186285.0	16755.0			1695.0		65534.0	14238.0						232.0				109039.0	139310.0	342571.0	717906	466598				
s02132		1187.0	13873830.0	3040449.0			11702812.0	1013494.0					9816.0	542793.0	1837.0	2358197.0		114.0		41795564.0	15461.0				52467.0	13277200.0	33619672.0		1522500.0	6573.0	1740	51637.0		6243.0		23156.0	8407.0	2026782.0	359696.0	112790.0		1468896.0	4429.0		576280.0				792425.0		27348.0			8937.0	674519		5589333		3116112.0			1664325.0					33438.0	23969.0		1011.0		6444.0	26523.0		1406.0	129957.0	9155.0	111881.0			23363866				2618.0	5334.0	150653		18712.0					164018.0			1242.0		52096.0		190516.0	972.0	35066.0	1322.0	1164.0							36806	3901989	104.0		41525.0	24688.0	21060.0	193190.0						1387.0	30414.0	2426.0				1753.0	38978.0		22597.0		151.0		2045.0	119160.0	10546.0		124786.0			179483.0	853.0	144357.0	6691.0			743.0		42194.0	3459.0						7095.0				108088.0	68389.0	344007.0	597462	234475				
s02100		6740.0	444998.0	175549.0			21095488.0	5905469.0					126713.0	160523.0	8434.0	4233018.0		27477.0		157304592.0	17347.0				422517.0	123459416.0	78644160.0		43969.0	10813.0	3795858	13710.0		25875.0		97776.0	28785.0	12267055.0	822000.0	10632.0		3155637.0	10006.0		343531.0				21480.0		28507.0			17425.0	50203		8245652		4301206.0			918795.0					36494.0	921191.0		1289.0		4680.0	23079.0		6845.0	7955.0	5767.0	31517.0			137837				19523.0	9798.0	11181349		73969.0					3526.0			33356.0		24864.0		824642.0	48276.0	54518.0	1223.0	2187.0							36120	1617866	801331.0		121516.0	91473.0	22374.0	4312870.0						9562.0	41678.0	46864.0				760.0	20128.0		447.0		44312.0		6635.0	110463.0	5000.0		522533.0			374685.0	1891.0	355480.0	130031.0			9189.0		472.0	13817.0						1575.0				238182.0	293515.0	130147.0	692118	475476				
s02146		1726.0	17626042.0	83201.0			15113726.0	1340820.0					11867.0	529896.0	850.0	2207840.0		299.0		39142188.0	576978.0				51159.0	18122928.0	26652184.0		1798224.0	6071.0	900921	57838.0		1057.0		16929.0	6883.0	2048840.0	741665.0	133524.0		1896234.0	3592.0		575594.0				1364009.0		25601.0			6022.0	1322706		5938129		3270164.0			1717670.0					35583.0	32840.0		1229.0		6472.0	25823.0		852.0	194882.0	10020.0	57204.0			27489638				2181.0	2932.0	14068721		173019.0					179205.0			601.0		35465.0		218717.0	139.0	35567.0	2280.0	1170.0							5777	4533014	16301.0		46291.0	22434.0	24154.0	320181.0						484.0	30707.0	32298.0				131.0	51375.0		11201.0		4216.0		5090.0	147548.0	14675.0		148996.0			224264.0	619.0	211062.0	17234.0			1701.0		65605.0	15035.0						138.0				78410.0	109282.0	269354.0	595240	398550				
s02090		5971.0	15094836.0	4662018.0			16386197.0	1611763.0					11506.0	729478.0	1610.0	2615230.0		236.0		19739482.0	701028.0				55329.0	12137341.0	41079860.0		2171524.0	10605.0	1966	59421.0		4328.0		26600.0	8325.0	2227748.0	528651.0	148008.0		6493750.0	8568.0		642761.0				878724.0		30851.0			13943.0	1280535		7448116		3772047.0			2094492.0					18542.0	31063.0		725.0		4736.0	31228.0		3626.0	105234.0	8513.0	147552.0			24859168				2253.0	12503.0	205622		1033701.0					193990.0			595.0		37972.0		249443.0	1227.0	37953.0	2913.0	1656.0							116658	4094202	10919.0		50117.0	22955.0	27626.0	237218.0						5173.0	29780.0	17620.0				3969.0	54249.0		21210.0		128.0		8370.0	103456.0	16953.0		144997.0			225093.0	602.0	202644.0	103.0			0.0		58516.0	594.0						0.0				133491.0	137518.0	355100.0	672250	401496				
s02096		877.0	16718654.0	8904.0			16221783.0	307206.0					11978.0	600401.0	68151.0	2409982.0		20855.0		44038144.0	756285.0				123943.0	14674948.0	33179194.0		1840628.0	8554.0	1427	58710.0		3483.0		25657.0	79068.0	2062569.0	738133.0	132392.0		1054006.0	4561.0		590549.0				1430698.0		30555.0			8558.0	1247718		5596404		3274232.0			1707798.0					40760.0	28401.0		698.0		6015.0	25028.0		491.0	188721.0	8258.0	76684.0			25044272				1748.0	2678.0	13018317		161874.0					515884.0			525.0		32103.0		199651.0	2257.0	33772.0	883.0	1396.0							4908	4284356	18760.0		36467.0	20923.0	22388.0	287459.0						888.0	28201.0	21160.0				256.0	65680.0		10764.0		3332.0		5639.0	136660.0	15829.0		136025.0			189876.0	283.0	193050.0	15668.0			2003.0		76831.0	15862.0						103.0				116029.0	85286.0	351840.0	691954	441016				
s02148		24218.0	20203998.0	190602.0			7832835.0	7198922.0					35937.0	156984.0	3487.0	1492982.0		17422.0		188223136.0	663315.0				151377.0	19193442.0	66224672.0		1994996.0	17651.0	4641264	6318.0		9178.0		27487.0	14168.0	2264658.0	797814.0	28539.0		2686948.0	16524.0		215631.0				627654.0		28073.0			30702.0	444923		8873797		3408786.0			3561652.0					57296.0	12259.0		21429.0		27445.0	22007.0		6943.0	12125.0	7329.0	36030.0			15260097				37614.0	28238.0	11380775		159323.0					81699.0			3921.0		44450.0		500151.0	8495.0	40706.0	1720.0	3361.0							13442	1736952	9456.0		185854.0	106533.0	14884.0	145445.0						10794.0	91291.0	61839.0				0.0	70804.0		2317.0		115833.0		2965.0	87809.0	1245.0		109957.0			131058.0	2321.0	170056.0	22987.0			6830.0		2710.0	15725.0						112.0				134349.0	122235.0	97540.0	542591	192503				
s02088		1868.0	15917125.0	4556447.0			16572859.0	1966579.0					11182.0	817717.0	2071.0	2872828.0		152.0		16888174.0	734474.0				61609.0	11443260.0	41532940.0		2521660.0	14023.0	2697	62003.0		3439.0		23449.0	10036.0	2437196.0	516899.0	148076.0		7895992.0	7087.0		674346.0				866926.0		32061.0			10212.0	1172284		8505936		4150249.0			2406529.0					22946.0	27177.0		1161.0		4874.0	35317.0		4415.0	119846.0	7057.0	158046.0			26910764				1645.0	10917.0	211068		2533221.0					213127.0			1153.0		33609.0		286849.0	2194.0	42352.0	2787.0	1345.0							173020	4425578	11159.0		48410.0	24057.0	25885.0	220456.0						7843.0	35192.0	13728.0				9615.0	42244.0		24290.0		127.0		9761.0	130901.0	5185.0		167630.0			250451.0	751.0	235423.0	0.0			0.0		33784.0	514.0						0.0				129648.0	135862.0	356478.0	701297	428986				
s02128		20742.0	21591142.0	193955.0			7615457.0	7724525.0					25562.0	261263.0	4847.0	1789787.0		15459.0		189848080.0	15573.0				161705.0	14894541.0	70506848.0		1164165.0	15653.0	4178724	3142.0		4643.0		29909.0	46299.0	2359271.0	847802.0	24427.0		7462131.0	14027.0		229070.0				579682.0		24676.0			24402.0	112466		9211561		4094626.0			3670460.0					67055.0	15450.0		16455.0		28396.0	14631.0		7097.0	5969.0	6573.0	36750.0			17551400				31059.0	9034.0	10998683		164781.0					98900.0			5044.0		46325.0		540517.0	3837.0	45783.0	15757.0	2276.0							118327	2093120	9163.0		223752.0	281704.0	13664.0	88466.0						12435.0	61111.0	14341.0				15001.0	20934.0		389.0		267247.0		6192.0	90633.0	2332.0		127.0			108.0	0.0	0.0	1002.0			203.0		3301.0	447.0						253.0				173733.0	151952.0	138650.0	566424	193685				
s02118		3466.0	13601458.0	126340.0			17042450.0	226228.0					11154.0	684323.0	1963.0	2672334.0		113.0		19830060.0	725804.0				52355.0	12594472.0	28791294.0		2120027.0	12174.0	2492	61361.0		1967.0		29253.0	9785.0	2306188.0	788459.0	77160.0		714149.0	5207.0		602969.0				1075626.0		32695.0			10978.0	1035381		6181834		3604132.0			1549936.0					37133.0	32006.0		419.0		5170.0	28495.0		2402.0	3865.0	8294.0	156979.0			23001860				3473.0	6514.0	13449925		157605.0					174326.0			1102.0		44463.0		180422.0	1247.0	38739.0	3515.0	1791.0							42304	4277264	16241.0		18731.0	19532.0	21884.0	214361.0						8607.0	16516.0	15699.0				4216.0	54445.0		13705.0		0.0		13431.0	131154.0	15420.0		128114.0			194963.0	8677.0	186712.0	123846.0			37192.0		45924.0	962.0						10263.0				104359.0	129925.0	370253.0	689098	417245				
s02094		841.0	15402195.0	10819.0			15964517.0	300836.0					11099.0	622463.0	68166.0	2386236.0		25571.0		42963324.0	712862.0				130202.0	15820084.0	35251136.0		1748198.0	5659.0	896	28788.0		3887.0		26857.0	87779.0	2030663.0	736899.0	125281.0		902970.0	3215.0		587370.0				1416375.0		29463.0			9022.0	1199628		5545826		3163211.0			1762951.0					40086.0	28038.0		629.0		4016.0	28668.0		1271.0	185989.0	8128.0	81048.0			24786372				1094.0	1564.0	12751573		165375.0					117389.0			566.0		43659.0		188583.0	512.0	30419.0	1931.0	1368.0							3665	4169970	17166.0		40702.0	15029.0	21693.0	292800.0						662.0	27715.0	22800.0				0.0	61271.0		8871.0		2368.0		8164.0	127845.0	6994.0		131792.0			192201.0	620.0	180044.0	16829.0			811.0		59645.0	12458.0						0.0				121756.0	138437.0	363697.0	692584	464553				
s02107		3159.0	15720368.0	103141.0			16127248.0	1366283.0					13764.0	600914.0	617.0	2348038.0		228.0		43736992.0	731006.0				55290.0	19677602.0	33811960.0		1762190.0	4283.0	695371	57923.0		3654.0		20740.0	7802.0	2058490.0	726978.0	95805.0		6420.0	4101.0		603367.0				1226675.0		29410.0			8846.0	1230386		6024151		3208518.0			1712664.0					38017.0	31079.0		321.0		7527.0	31407.0		422.0	203932.0	9664.0	85114.0			25967460				2071.0	2778.0	13560403		169378.0					159688.0			635.0		36150.0		199739.0	834.0	31851.0	1816.0	1367.0							4062	4356671	13702.0		41207.0	17760.0	23368.0	305088.0						1011.0	24134.0	14476.0				243.0	56658.0		11803.0		3089.0		6344.0	149278.0	14235.0		135250.0			211274.0	351.0	195292.0	16038.0			1737.0		71391.0	15005.0						224.0				109342.0	134271.0	337720.0	722736	381255				
s02091		3921.0	119825.0	161544.0			16927964.0	644566.0					11179.0	636991.0	2112.0	5324802.0		572.0		32578266.0	23822.0				58413.0	16831668.0	44058748.0		77431.0	9242.0	604411	18359.0		4199.0		49524.0	8974.0	2058401.0	61180.0	8136.0		776900.0	1705.0		721201.0				1062025.0		27421.0			12183.0	66700		7538126		4618598.0			36384.0					103937.0	72109.0		415.0		6498.0	27167.0		1508.0	195351.0	5151.0	173241.0			250220				1464.0	4463.0	14734959		188755.0					17297.0			47531.0		29334.0		205115.0	62375.0	42239.0	635.0	3110.0							7613	2312284	18758.0		35808.0	19248.0	27152.0	146087.0						2014.0	12362.0	19211.0				182.0	24382.0		8008.0		111.0		10233.0	149775.0	4740.0		147009.0			217301.0	2361.0	199213.0	25100.0			4881.0		21777.0	403.0						3285.0				136828.0	104576.0	386601.0	691929	415230				
s02112		1290.0	15320648.0	125391.0			15503884.0	828808.0					12640.0	614335.0	1848.0	2397191.0		918.0		52501776.0	729252.0				56801.0	17376118.0	35584460.0		1624890.0	7606.0	786447	55404.0		797.0		27593.0	22614.0	2207476.0	688217.0	96778.0		2724696.0	6576.0		621401.0				1292678.0		26977.0			7071.0	822628		6798730		3279603.0			1519377.0					38828.0	27534.0		289.0		6315.0	31306.0		2538.0	183378.0	6703.0	103925.0			24988824				1339.0	5727.0	14182176		174278.0					138188.0			142.0		35237.0		216467.0	315.0	38250.0	404.0	1418.0							4766	4285772	16245.0		43673.0	23392.0	26794.0	272571.0						412.0	40948.0	34686.0				262.0	58079.0		10521.0		6758.0		11524.0	137402.0	6010.0		128823.0			134515.0	549.0	161481.0	11556.0			685.0		15509.0	16310.0						107.0				101909.0	126161.0	337309.0	660913	405338				
s02137		1152.0	15322309.0	94422.0			14954677.0	269288.0					10886.0	516767.0	1108.0	2010095.0		421.0		43085720.0	690637.0				50875.0	17536718.0	30039318.0		1634551.0	6375.0	821302	31667.0		5107.0		19397.0	6816.0	1967842.0	21887.0	99755.0		1507850.0	3295.0		563465.0				1041495.0		25183.0			9005.0	1067169		5620110		3347746.0			1508144.0					32423.0	24584.0		906.0		6438.0	31347.0		1783.0	177430.0	8611.0	70921.0			23212390				638.0	9544.0	12645048		145030.0					43883.0			590.0		27977.0		188892.0	884.0	30634.0	2255.0	2240.0							5142	3945842	16615.0		41471.0	18002.0	22929.0	266412.0						233.0	45204.0	13377.0				201.0	54518.0		16150.0		2938.0		11519.0	133260.0	12705.0		125982.0			184123.0	1108.0	172634.0	15224.0			2004.0		18648.0	13871.0						0.0				90200.0	115039.0	315262.0	621158	416615				
s02144		5656.0	13630770.0	104259.0			14739450.0	774981.0					9339.0	536082.0	1399.0	2009753.0		495.0		42078492.0	564772.0				46864.0	16868040.0	30992130.0		1572644.0	6752.0	725817	19035.0		2594.0		20996.0	6996.0	1978371.0	618967.0	104953.0		1683394.0	2967.0		537893.0				1000355.0		26017.0			11088.0	1027436		5556118		2849150.0			1494381.0					29430.0	25094.0		1278.0		7227.0	19240.0		1205.0	156544.0	9402.0	81084.0			21721810				1491.0	3762.0	12244075		146345.0					119716.0			455.0		34323.0		177351.0	903.0	30446.0	796.0	815.0							4650	3761075	11041.0		35179.0	17892.0	23020.0	264324.0						181.0	37343.0	20753.0				109.0	57182.0		12809.0		1620.0		12945.0	127901.0	5184.0		119001.0			169782.0	388.0	165958.0	14277.0			1275.0		42114.0	12465.0						0.0				104767.0	123721.0	328404.0	543361	364520				
s02114		2378.0	15594254.0	127263.0			15332064.0	948643.0					10779.0	665513.0	1445.0	2520146.0		1045.0		52904168.0	717380.0				61889.0	13484906.0	35720476.0		1796682.0	6335.0	378613	56010.0		5834.0		28524.0	23973.0	2272159.0	690488.0	89945.0		1405092.0	3297.0		631718.0				1266478.0		26574.0			9633.0	795410		6722840		3317751.0			1607600.0					40336.0	30207.0		124.0		5324.0	33130.0		3269.0	185119.0	10812.0	109162.0			24697058				2725.0	6948.0	13966857		166626.0					137515.0			849.0		39000.0		210367.0	1399.0	37999.0	803.0	1507.0							5922	4239111	20990.0		47416.0	18193.0	24039.0	260454.0						736.0	82532.0	35614.0				151.0	57376.0		16065.0		2956.0		13545.0	133020.0	11605.0		130715.0			125319.0	371.0	152764.0	4517.0			518.0		6904.0	16758.0						358.0				103232.0	139232.0	351992.0	637174	213589				
s02124		1486.0	15547462.0	103403.0			15263232.0	248400.0					11818.0	533490.0	1576.0	2155469.0		418.0		40096808.0	662240.0				50813.0	17519626.0	30595898.0		1722695.0	6046.0	1336	42511.0		3416.0		20885.0	11685.0	2002016.0	716271.0	133195.0		1356224.0	6258.0		566384.0				1085871.0		26867.0			6957.0	1277090		5689144		3047015.0			1616458.0					33375.0	26144.0		1588.0		4053.0	21264.0		662.0	65653.0	9062.0	79204.0			23955854				1081.0	5915.0	13037674		150791.0					150397.0			1352.0		42476.0		195823.0	463.0	33535.0	2454.0	695.0							5917	4015457	16245.0		44355.0	3642.0	22954.0	288806.0						413.0	49496.0	12430.0				148.0	56447.0		18975.0		3405.0		9014.0	136337.0	4187.0		134447.0			202256.0	1544.0	185604.0	22712.0			4545.0		17648.0	12508.0						2415.0				95395.0	120345.0	319472.0	618903	423312				
s02154		3591.0	12227472.0	318645.0			14884604.0	1226192.0					25674.0	395205.0	6768.0	2277276.0		1976.0		65521412.0	499593.0				105230.0	30427248.0	44581472.0		1381550.0	8678.0	774741	30219.0		1769.0		16540.0	13649.0	4179554.0	554753.0	74417.0		2629392.0	3438.0		494847.0				837658.0		27290.0			14566.0	710340		6408698		3296909.0			1941240.0					33597.0	51006.0		1820.0		6912.0	31735.0		2221.0	130719.0	10934.0	81542.0			19853852				3422.0	2359.0	11808774		212562.0					62863.0			6098.0		35505.0		228279.0	5222.0	42296.0	3472.0	1517.0							9062	2888037	30776.0		76322.0	22354.0	21153.0	759173.0						1326.0	22501.0	12273.0				1643.0	36451.0		21230.0		3404.0		9717.0	122635.0	22898.0		167852.0			207127.0	2594.0	194699.0	44128.0			9723.0		28864.0	14297.0						1368.0				123941.0	112889.0	236583.0	670955	344435				
